profile_id,total_trades,winning_trades,losing_trades,total_pnl,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,win_rate,avg_win,avg_loss,avg_rr,max_consecutive_losses,total_days,trades_per_day,starting_equity,ending_equity,window,window_range,tournament_score
london_reversal|equity_curve|hybrid_sweep_time_spread|no_pyramid|fixed_sl_trail|day_of_week|US100.cash,29,23,6,3356.8659700001785,753.2999999999884,0.007486429283151903,7.128765583968424,3.1263676377361955,0.7931034482758621,214.58919869566057,263.11426666666904,0.815574166365964,2,336,0.08630952380952381,100000.0,103356.86597000019,1y,2025-09-09_to_2026-09-09,3.3033150103118722
london_reversal|conservative_ramp|hybrid_sweep_time_spread|risk_free_runner|time_based|day_of_week|US100.cash,29,20,9,8444.81637000004,967.7934799999784,0.00959990901375443,6.682028345689306,3.3236017263671083,0.6896551724137931,603.9590595000053,403.8183133333407,1.4956207768651988,2,336,0.08630952380952381,100000.0,108444.81637,1y,2025-09-09_to_2026-09-09,3.1318754346262807
london_reversal|conservative_ramp|hybrid_sweep_time_spread|no_pyramid|time_based|day_of_week|US100.cash,29,20,9,8444.81637000004,967.7934799999784,0.00959990901375443,6.682028345689306,3.3236017263671083,0.6896551724137931,603.9590595000053,403.8183133333407,1.4956207768651988,2,336,0.08630952380952381,100000.0,108444.81637,1y,2025-09-09_to_2026-09-09,3.1318754346262807
london_reversal|conservative_ramp|hybrid_sweep_time_spread|inverse_pyramid|time_based|day_of_week|US100.cash,29,20,9,8444.81637000004,967.7934799999784,0.00959990901375443,6.682028345689306,3.3236017263671083,0.6896551724137931,603.9590595000053,403.8183133333407,1.4956207768651988,2,336,0.08630952380952381,100000.0,108444.81637,1y,2025-09-09_to_2026-09-09,3.1318754346262807
london_reversal|conservative_ramp|hybrid_sweep_time_spread|front_loaded|time_based|day_of_week|US100.cash,29,20,9,8444.81637000004,967.7934799999784,0.00959990901375443,6.682028345689306,3.3236017263671083,0.6896551724137931,603.9590595000053,403.8183133333407,1.4956207768651988,2,336,0.08630952380952381,100000.0,108444.81637,1y,2025-09-09_to_2026-09-09,3.1318754346262807
london_reversal|conservative_ramp|hybrid_sweep_time_spread|equal_split|time_based|day_of_week|US100.cash,29,20,9,8444.81637000004,967.7934799999784,0.00959990901375443,6.682028345689306,3.3236017263671083,0.6896551724137931,603.9590595000053,403.8183133333407,1.4956207768651988,2,336,0.08630952380952381,100000.0,108444.81637,1y,2025-09-09_to_2026-09-09,3.1318754346262807
london_reversal|fixed_low|hybrid_sweep_time_spread|risk_free_runner|time_based|day_of_week|US100.cash,29,20,9,4757.297330000057,675.9367399999755,0.006721116430181501,6.624369339739466,3.4122124544343584,0.6896551724137931,336.4734555000045,219.13019777778146,1.535495604495461,2,336,0.08630952380952381,100000.0,104757.29733000004,1y,2025-09-09_to_2026-09-09,3.1132198991441062
london_reversal|fixed_low|hybrid_sweep_time_spread|no_pyramid|time_based|day_of_week|US100.cash,29,20,9,4757.297330000057,675.9367399999755,0.006721116430181501,6.624369339739466,3.4122124544343584,0.6896551724137931,336.4734555000045,219.13019777778146,1.535495604495461,2,336,0.08630952380952381,100000.0,104757.29733000004,1y,2025-09-09_to_2026-09-09,3.1132198991441062
london_reversal|fixed_low|hybrid_sweep_time_spread|inverse_pyramid|time_based|day_of_week|US100.cash,29,20,9,4757.297330000057,675.9367399999755,0.006721116430181501,6.624369339739466,3.4122124544343584,0.6896551724137931,336.4734555000045,219.13019777778146,1.535495604495461,2,336,0.08630952380952381,100000.0,104757.29733000004,1y,2025-09-09_to_2026-09-09,3.1132198991441062
london_reversal|fixed_low|hybrid_sweep_time_spread|front_loaded|time_based|day_of_week|US100.cash,29,20,9,4757.297330000057,675.9367399999755,0.006721116430181501,6.624369339739466,3.4122124544343584,0.6896551724137931,336.4734555000045,219.13019777778146,1.535495604495461,2,336,0.08630952380952381,100000.0,104757.29733000004,1y,2025-09-09_to_2026-09-09,3.1132198991441062
london_reversal|fixed_low|hybrid_sweep_time_spread|equal_split|time_based|day_of_week|US100.cash,29,20,9,4757.297330000057,675.9367399999755,0.006721116430181501,6.624369339739466,3.4122124544343584,0.6896551724137931,336.4734555000045,219.13019777778146,1.535495604495461,2,336,0.08630952380952381,100000.0,104757.29733000004,1y,2025-09-09_to_2026-09-09,3.1132198991441062
