profile_id,total_trades,winning_trades,losing_trades,total_pnl,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,win_rate,avg_win,avg_loss,avg_rr,max_consecutive_losses,total_days,trades_per_day,starting_equity,ending_equity,window,window_range,tournament_score
omni_breakout|conservative_ramp|close_confirmation|front_loaded|chandelier|spread_gate|US100.cash,127,43,84,-3569.4867392857464,3698.299436428555,0.03698299436428555,-3.6167752915249474,0.49777361814820137,0.33858267716535434,82.27533709302541,84.61102659864093,0.9723949749871841,18,182,0.6978021978021978,100000.0,96430.51326071435,6m,2026-03-09_to_2026-09-09,-0.7911839535833579
omni_breakout|conservative_ramp|close_confirmation|front_loaded|chandelier|none|US100.cash,127,43,84,-3569.4867392857464,3698.299436428555,0.03698299436428555,-3.6167752915249474,0.49777361814820137,0.33858267716535434,82.27533709302541,84.61102659864093,0.9723949749871841,18,182,0.6978021978021978,100000.0,96430.51326071435,6m,2026-03-09_to_2026-09-09,-0.7911839535833579
omni_breakout|conservative_ramp|close_confirmation|equal_split|chandelier|spread_gate|US100.cash,127,43,84,-3569.4867392857464,3698.299436428555,0.03698299436428555,-3.6167752915249474,0.49777361814820137,0.33858267716535434,82.27533709302541,84.61102659864093,0.9723949749871841,18,182,0.6978021978021978,100000.0,96430.51326071435,6m,2026-03-09_to_2026-09-09,-0.7911839535833579
omni_breakout|conservative_ramp|close_confirmation|equal_split|chandelier|none|US100.cash,127,43,84,-3569.4867392857464,3698.299436428555,0.03698299436428555,-3.6167752915249474,0.49777361814820137,0.33858267716535434,82.27533709302541,84.61102659864093,0.9723949749871841,18,182,0.6978021978021978,100000.0,96430.51326071435,6m,2026-03-09_to_2026-09-09,-0.7911839535833579
omni_breakout|conservative_ramp|close_confirmation|adaptive_tranche|chandelier|spread_gate|US100.cash,127,43,84,-3569.4867392857464,3698.299436428555,0.03698299436428555,-3.6167752915249474,0.49777361814820137,0.33858267716535434,82.27533709302541,84.61102659864093,0.9723949749871841,18,182,0.6978021978021978,100000.0,96430.51326071435,6m,2026-03-09_to_2026-09-09,-0.7911839535833579
omni_breakout|conservative_ramp|close_confirmation|adaptive_tranche|chandelier|none|US100.cash,127,43,84,-3569.4867392857464,3698.299436428555,0.03698299436428555,-3.6167752915249474,0.49777361814820137,0.33858267716535434,82.27533709302541,84.61102659864093,0.9723949749871841,18,182,0.6978021978021978,100000.0,96430.51326071435,6m,2026-03-09_to_2026-09-09,-0.7911839535833579
omni_breakout|fixed_low|retest_entry|risk_free_runner|fixed_sl_trail|day_of_week|US100.cash,151,88,63,-4027.457539999953,4100.579829999959,0.04099984169129926,-4.182347532429328,0.5227766168419048,0.5827814569536424,50.1351982954551,133.95801571428575,0.37426053251181823,4,364,0.41483516483516486,100000.0,95972.54246000004,1y,2025-09-09_to_2026-09-09,-0.7913888878337138
omni_breakout|fixed_low|retest_entry|no_pyramid|fixed_sl_trail|day_of_week|US100.cash,151,88,63,-4027.457539999953,4100.579829999959,0.04099984169129926,-4.182347532429328,0.5227766168419048,0.5827814569536424,50.1351982954551,133.95801571428575,0.37426053251181823,4,364,0.41483516483516486,100000.0,95972.54246000004,1y,2025-09-09_to_2026-09-09,-0.7913888878337138
omni_breakout|fixed_low|retest_entry|momentum_confirmed|fixed_sl_trail|day_of_week|US100.cash,151,88,63,-4027.457539999953,4100.579829999959,0.04099984169129926,-4.182347532429328,0.5227766168419048,0.5827814569536424,50.1351982954551,133.95801571428575,0.37426053251181823,4,364,0.41483516483516486,100000.0,95972.54246000004,1y,2025-09-09_to_2026-09-09,-0.7913888878337138
omni_breakout|fixed_low|retest_entry|inverse_pyramid|fixed_sl_trail|day_of_week|US100.cash,151,88,63,-4027.457539999953,4100.579829999959,0.04099984169129926,-4.182347532429328,0.5227766168419048,0.5827814569536424,50.1351982954551,133.95801571428575,0.37426053251181823,4,364,0.41483516483516486,100000.0,95972.54246000004,1y,2025-09-09_to_2026-09-09,-0.7913888878337138
omni_breakout|fixed_low|retest_entry|front_loaded|fixed_sl_trail|day_of_week|US100.cash,151,88,63,-4027.457539999953,4100.579829999959,0.04099984169129926,-4.182347532429328,0.5227766168419048,0.5827814569536424,50.1351982954551,133.95801571428575,0.37426053251181823,4,364,0.41483516483516486,100000.0,95972.54246000004,1y,2025-09-09_to_2026-09-09,-0.7913888878337138
omni_breakout|fixed_low|retest_entry|equal_split|fixed_sl_trail|day_of_week|US100.cash,151,88,63,-4027.457539999953,4100.579829999959,0.04099984169129926,-4.182347532429328,0.5227766168419048,0.5827814569536424,50.1351982954551,133.95801571428575,0.37426053251181823,4,364,0.41483516483516486,100000.0,95972.54246000004,1y,2025-09-09_to_2026-09-09,-0.7913888878337138
omni_breakout|fixed_low|retest_entry|adaptive_tranche|fixed_sl_trail|day_of_week|US100.cash,151,88,63,-4027.457539999953,4100.579829999959,0.04099984169129926,-4.182347532429328,0.5227766168419048,0.5827814569536424,50.1351982954551,133.95801571428575,0.37426053251181823,4,364,0.41483516483516486,100000.0,95972.54246000004,1y,2025-09-09_to_2026-09-09,-0.7913888878337138
